rating,team,position,salary,country,draft_round,age,experience,bmi
72,Boston Celtics,G,3458400.0,USA,1,21,1,26.304061854009504
72,Boston Celtics,F,2379840.0,USA,1,22,1,27.305887154372
72,Brooklyn Nets,C,898310.0,USA,2,30,1,21.90426989510568
72,Charlotte Hornets,F,3831840.0,USA,1,22,1,25.261750946758752
72,Chicago Bulls,G,3000000.0,Not-USA,0,26,4,24.245497656314246
72,Cleveland Cavaliers,G-F,1290960.0,USA,1,20,1,26.545679078632983
72,Philadelphia 76ers,F,2833704.0,Not-USA,0,30,7,24.875012753800632
72,Indiana Pacers,C,2816760.0,Not-USA,1,21,1,25.471125985489998
72,Memphis Grizzlies,G,1416852.0,USA,2,22,2,24.3832050701675
72,New Orleans Pelicans,G-F,1416852.0,USA,0,26,2,24.295990205081115
72,New Orleans Pelicans,G,2964840.0,Not-USA,1,22,1,24.20605997501041
72,No Team,F-C,2773550.0,USA,1,22,1,25.31728505908904
72,Philadelphia 76ers,G-F,2582160.0,USA,1,23,1,23.732299042065808
72,Phoenix Suns,F,4033440.0,USA,1,24,1,23.113882889660033
72,Phoenix Suns,G,2193480.0,USA,1,23,1,23.024260724698046
72,San Antonio Spurs,F,2689920.0,Not-USA,1,20,1,21.911982248520708
72,San Antonio Spurs,F,1950600.0,USA,1,21,1,24.914098292378178
72,Toronto Raptors,G,898310.0,USA,0,26,3,23.989905769282398
71,Toronto Raptors,F-C,1588231.0,Not-USA,0,27,3,21.37807521915355
71,Phoenix Suns,G,1416852.0,USA,2,25,2,26.506939371804233
71,No Team,F-C,250000.0,USA,2,24,4,25.161797337278102
71,Minnesota Timberwolves,G,1925880.0,USA,1,23,2,25.571156272651617
71,Oklahoma City Thunder,G,2475840.0,USA,1,22,3,21.28864401591674
71,Chicago Bulls,F,898310.0,USA,2,22,1,24.533099112426033
71,Atlanta Hawks,G,1645357.0,USA,0,27,5,25.859017076218244
71,New Orleans Pelicans,G,1618520.0,USA,2,22,3,25.48998108604479
71,Chicago Bulls,C,2250000.0,USA,0,25,3,22.90632101674943
